pinyin,zh,eng,rad,mean_intensity,mean_intensity_sd,type1,type1_p,type2,type2_p,pos,neg,neu
daoluan,捣乱,make,0,2.91,1.67,Dg,30.4,Ot,26.1,0,82.6,17.4
deyi,得意,proud,1,5.39,0.82,Hp,95.7,Ot,4.3,34.8,30.4,34.8
dezhi,得志,achieve,1,4.67,1.49,Hp,79.2,Ot,16.7,58.3,8.3,33.3
diannian,惦念,reminisce,3,4.62,1.36,Ot,59.1,Ax,27.3,33.3,4.8,61.9
dichen,低沉,dispirited,0,3.43,1.72,Sd,47.8,Ot,30.4,0,60.9,39.1
diluo,低落,depressed,0,4.58,1.22,Sd,91.7,Ax,4.2,0,87.5,12.5
dishi,敌视,hostile,0,6.05,0.88,Dg,72.7,Ot,22.7,0,90.9,9.1
dongxin,动心,moved,1,4,1.57,Hp,59.1,Ot,31.8,72.7,0,27.3
dongyao,动摇,indecisive,0,3.13,1.8,Ot,52.2,Nu,26.1,0,26.1,73.9
duibuqi,对不起,apologetic,0,3,1.79,Ot,52.2,Nu,26.1,17.4,13,69.6
duibuzhu,对不住,apologetic,0,3,1.56,Ot,60.9,Nu,21.7,4.3,8.7,87
duji,妒嫉,jealous,0,5.79,1.26,Dg,45.8,Ot,41.7,0,91.7,8.3
duji,妒忌,jealous,1,5.7,1,Dg,52.2,Ot,43.5,0,100,0
duoqing,多情,passionate,2,3.1,1.85,Ot,47.8,Nu,30.4,14.3,19,66.7
eran,愕然,astounded,2,5.54,0.87,Sp,100,NA,0,4.2,20.8,75
fachou,发愁,worried,1,4.65,0.96,Ax,60.9,Sd,30.4,0,73.9,26.1
fachu,发憷,scared,2,5.84,1.23,Fr,63.6,Un,13.6,0,84.2,15.8
fahuang,发慌,nervous,2,5.09,1.1,Ax,56.5,Fr,30.4,0,87,13
fan,烦,bothered,0,5.18,1.19,Ax,73.9,Dg,13,0,82.6,17.4
fanchou,犯愁,anxious,1,4.45,1.2,Ax,72.7,Sd,22.7,0,68.2,31.8
fandui,反对,oppose,0,2.39,1.69,Nu,47.8,Ot,30.4,0,17.4,82.6
fangan,反感,dislike,1,4.73,1.25,Dg,95.5,Ag,4.5,4.5,95.5,0
fangsong,放松,relaxed,0,2.14,1.18,Nu,36.4,Ot,31.8,42.9,0,57.1
fangxin,放心,at,1,3.29,1.67,Hp,39.1,Ot,34.8,70.8,0,29.2
fanluan,烦乱,irritated,0,5.35,1.27,Ax,78.3,Ot,13,0,91.3,8.7
fanmen,烦闷,irritated,1,4.57,1.21,Ax,82.6,Dg,17.4,0,52.2,47.8
fannao,烦恼,worried,2,4.86,1.39,Ax,72.7,Dg,13.6,0,86.4,13.6
fanren,烦人,annoying,0,4.76,1.27,Dg,81.8,Ax,13.6,0,90.9,9.1
fanxin,烦心,annoyed,1,4.75,1.23,Ax,75,Dg,20.8,0,79.2,20.8
fanza,烦杂,miscellaneous,0,4.63,1.41,Ax,66.7,Dg,25,0,87.5,12.5
fanzao,烦燥,agitated,0,5.3,1.08,Ax,95.7,Ot,4.3,0,82.6,17.4
fanzao,烦躁,agitated,0,5.26,1.19,Ax,87,Ot,8.7,0,69.6,30.4
fawei,乏味,dull,0,3.5,1.44,Dg,70.8,Ot,16.7,0,83.3,16.7
fen,忿怒,angry,1,6.04,0.98,Ag,79.2,Dg,20.8,4.2,87.5,8.3
fen,愤怒,angry,3,6.43,0.71,Ag,100,NA,0,0,69.6,30.4
fengkuang,疯狂,crazy,0,4.96,2.2,Ot,60.9,Nu,17.4,0,43.5,56.5
fenhen,忿恨,resentful,3,6.22,0.83,Ag,60.9,Dg,39.1,0,82.6,17.4
fenhen,愤恨,resentful,2,6.45,0.72,Ag,63.6,Dg,27.3,0,95.5,4.5
fenkai,愤慨,resentful,2,6.18,0.72,Ag,95.5,Ot,4.5,18.2,45.5,36.4
fenmen,愤懑,resentful,3,6.35,0.87,Ag,100,NA,0,0,65.2,34.8
fujiu,负疚,guilty,0,5.54,1.12,Sd,50,Ot,41.7,4.2,75,20.8
fuzao,浮躁,restless,0,4.67,1.4,Ax,75,Ot,20.8,0,100,0
gandong,感动,moved,1,4.65,1.88,Ot,47.8,Hp,30.4,82.6,0,17.4
ganji,感激,grateful,1,5.39,0.87,Hp,56.5,Ot,43.5,87,4.3,8.7
gankai,感慨,sentimental,3,3.73,1.79,Ot,63.6,Nu,22.7,9.1,4.5,86.4
ganshang,感伤,sentimental,1,5,1.17,Sd,90.9,Ax,9.1,0,77.3,22.7
ganxie,感谢,gratitude,1,4,1.48,Ot,54.5,Hp,36.4,86.4,0,13.6
gaoang,高昂,in,0,5.29,1.67,Hp,58.3,Ot,33.3,75,0,25
gaokang,高亢,resounding,0,5.22,1.84,Hp,52.2,Ot,34.8,47.8,0,52.2
gaoxing,高兴,pleased,0,5.64,1.33,Hp,100,NA,0,86.4,0,13.6
gaozhang,高涨,upsurge,0,3.86,2.16,Hp,50,Nu,31.8,54.5,0,45.5
gualv,挂虑,worried,1,4.32,1.14,Ax,78.3,Ot,17.4,36.4,22.7,40.9
guanhuai,关怀,care,2,3.09,1.86,Ot,47.8,Nu,30.4,68.2,4.5,27.3
guanian,挂念,reminisce,1,4.7,1.65,Ot,73.9,Ax,8.7,65.2,0,34.8
guanqie,关切,care,0,3.86,1.77,Ot,59.1,Hp,22.7,77.3,0,22.7
guanxin,关心,care,1,3.45,1.56,Ot,52.2,Nu,21.7,68.2,0,31.8
guanzhu,关注,pay,0,1.7,1.23,Nu,69.6,Ot,26.1,9.1,0,90.9
guaqian,挂牵,reminisce,0,4.04,1.83,Ax,39.1,Ot,34.8,17.4,0,82.6
guaxin,挂心,care,1,3.95,1.26,Ax,39.1,Ot,34.8,22.7,18.2,59.1
guomin,过敏,allergic,0,1.95,1.73,Nu,59.1,Ot,22.7,0,14.3,85.7
haiguai,骇怪,shocked,2,5.71,1.45,Sp,75,Un,12.5,0,42.9,57.1
haipa,害怕,afraid,2,5.78,1.02,Fr,95.7,Ot,4.3,0,52.2,47.8
haisao,害臊,shy,0,4.13,1.51,Ot,65.2,Fr,17.4,4.3,26.1,69.6
haixiu,害羞,shy,0,4.27,1.17,Ot,86.4,Nu,4.5,4.5,0,95.5
haiyi,骇异,shocked,0,6.09,1.04,Sp,87,Fr,13,0,43.5,56.5
houhui,后悔,regretful,2,4.52,1.28,Sd,43.5,Ot,34.8,0,65.2,34.8
huainian,怀念,reminisce,3,3.7,1.54,Ot,65.2,Sd,26.1,65.2,4.3,30.4
huaiyi,怀疑,suspect,2,4.05,1.49,Ot,81.8,Ax,13.6,4.5,54.5,40.9
huan,欢,happy,0,4.71,1.62,Hp,100,NA,0,91.7,0,8.3
huanchang,欢畅,joyful,0,5.82,1.07,Hp,100,NA,0,95.5,0,4.5
huanghuo,惶惑,perplexed,3,5.68,1.14,Fr,43.5,Ax,26.1,0,59.1,40.9
