pinyin,zh,eng,rad,mean_intensity,mean_intensity_sd,type1,type1_p,type2,type2_p,pos,neg,neu
xiangxin,相信,believe,0,3.57,2.14,Ot,60.9,Nu,30.4,60.9,0,39.1
xianmu,羡慕,admire,0,4.52,1.21,Ot,69.6,Hp,13,43.5,13,43.5
xianshi,闲适,comfortable,0,2.61,1.52,Hp,43.5,Ot,30.4,69.6,0,30.4
xianya,闲雅,elegant,0,2.75,1.61,Hp,41.7,Ot,33.3,78.3,0,21.7
xiaochang,晓畅,contented,0,4.5,1.72,Hp,45.5,Un,36.4,85.7,0,14.3
xiaochen,消沉,depressed,0,4.92,1.55,Sd,66.7,Ot,25,0,100,0
xiaohun,消魂,enchanted,0,4.7,2.07,Ot,50,Hp,16.7,13.6,9.1,77.3
xiaojing,孝敬,filial,0,3,2.02,Ot,56.5,Nu,39.1,60.9,0,39.1
xiaoyao,逍遥,leisurely,0,3.52,1.86,Hp,56.5,Ot,21.7,56.5,0,43.5
xiaren,吓人,frightening,0,5.05,1.11,Fr,81.8,Sp,18.2,0,54.5,45.5
xihuan,喜欢,like,0,4.96,1.14,Hp,95.8,Ot,4.2,91.7,0,8.3
xinfu,信服,convinced,0,3.77,2,Ot,72.7,Nu,22.7,63.6,0,36.4
xinfu,心浮,impatient,1,3.95,1.76,Ax,45.8,Ot,29.2,0,76.2,23.8
xingfen,兴奋,excited,0,6.14,0.97,Hp,100,NA,0,95.5,0,4.5
xingfu,幸福,happy,0,5.41,1.4,Hp,100,NA,0,100,0,0
xinhan,心寒,disappointed,1,5.7,1.23,Sd,69.6,Ot,26.1,0,78.3,21.7
xinhuang,心慌,anxious,3,5,1,Ax,65.2,Fr,34.8,0,70.8,29.2
xinji,心急,impatient,1,4.87,1.42,Ax,100,NA,0,0,47.8,52.2
xinjiao,心焦,anxious,1,5.13,1.23,Ax,100,NA,0,4.3,73.9,21.7
xinlai,信赖,trust,0,3.78,2.17,Ot,65.2,Nu,30.4,73.9,0,26.1
xinqie,心切,anxious,1,4.48,1.74,Ot,36.4,Ax,31.8,23.8,14.3,61.9
xinren,信任,trust,0,3.7,2.35,Ot,52.2,Nu,34.8,69.6,0,30.4
xinsuan,心酸,sad,1,5.39,0.82,Sd,73.9,Ot,26.1,0,60.9,39.1
xinsuan,辛酸,sad,0,4.91,0.88,Sd,65.2,Ot,34.8,0,60.9,39.1
xinwei,欣慰,pleased,1,4.64,0.98,Hp,100,NA,0,95.5,0,4.5
xinxi,欣喜,happy,0,5.41,1.23,Hp,100,NA,0,95.5,0,4.5
xinxu,心虚,guilty,1,4.92,0.95,Fr,62.5,Ax,37.5,0,91.7,8.3
xiucan,羞惭,ashamed,2,4.91,1.38,Ot,78.3,Ax,8.7,4.5,59.1,36.4
xiukui,羞愧,ashamed,2,4.91,1.38,Ot,56.5,Fr,21.7,0,65.2,34.8
xiuqie,羞怯,shy,2,3.88,1.48,Ot,41.7,Fr,37.5,4.2,16.7,79.2
xiuse,羞涩,shy,0,4,1.5,Ot,73.9,Fr,17.4,17.4,0,82.6
xiyue,喜悦,joyful,2,5.27,1.32,Hp,100,NA,0,95.5,0,4.5
xuanyao,炫耀,show,0,5.14,1.22,Ot,50,Hp,40.9,9.1,77.3,13.6
yanfan,厌烦,bored,0,5.5,1.37,Dg,100,NA,0,0,90.9,9.1
yangyang,痒痒,itchy,0,2.67,1.61,Nu,30.4,Ot,26.1,14.3,0,85.7
yanhong,眼红,jealous,0,5.17,1.2,Ot,56.5,Dg,17.4,0,78.3,21.7
yanjuan,厌倦,bored,0,4.71,1.46,Dg,79.2,Sd,8.3,0,91.7,8.3
yanwu,厌恶,disgust,1,6,1.06,Dg,100,NA,0,0,91.3,8.7
yihan,遗憾,regretful,3,4.73,1.68,Sd,81.8,Ot,9.1,4.5,63.6,31.8
yihe,怡和,delightful,2,3.75,1.64,Hp,54.5,Un,27.3,100,0,0
yihuo,疑惑,doubt,1,3.17,1.37,Ot,39.1,Sp,26.1,0,4.3,95.7
yinyu,阴郁,depressed,0,5.36,1.11,Sd,63.6,Ax,22.7,0,95.5,4.5
yixin,疑心,suspicious,1,3.74,1.48,Ot,39.1,Ax,30.4,0,54.5,45.5
yiyu,抑郁,depressed,0,5.27,1.32,Sd,54.5,Ax,31.8,4.5,95.5,0
yizhong,倚重,rely,0,4.05,1.56,Ot,81.8,Nu,9.1,55,0,45
yonghu,拥护,support,0,4.75,1.48,Hp,66.7,Ot,29.2,83.3,0,16.7
youchou,忧愁,worried,3,5.35,0.91,Sd,60.9,Ax,26.1,0,69.6,30.4
youlv,忧虑,worried,3,5.09,0.78,Ax,87,Sd,8.7,0,65.2,34.8
youyu,忧郁,melancholy,2,4.96,0.86,Sd,73.9,Ax,17.4,0,73.9,26.1
yuan,冤,wrongful,0,5.63,0.95,Ot,41.7,Sd,41.7,0,83.3,16.7
yuanhen,怨恨,resent,3,6.59,0.72,Dg,54.5,Ag,22.7,4.5,95.5,0
yuanwang,冤枉,feel,0,5,1.59,Sd,39.1,Ot,34.8,4.3,78.3,17.4
yuanyi,愿意,willing,1,2.74,1.51,Ot,39.1,Hp,34.8,56.5,0,43.5
yue,乐,happy,0,4.75,1.39,Hp,100,NA,0,95.8,0,4.2
yumen,郁闷,depressed,1,4.59,1.19,Sd,52.2,Ax,26.1,0,60.9,39.1
yuyi,郁悒,depressed,2,5.64,0.81,Un,39.1,Ax,26.1,0,71.4,28.6
yuyue,愉悦,pleasure,2,4.91,1.21,Hp,95.7,Dg,4.3,95.7,4.3,0
zaihu,在乎,care,0,3.87,1.54,Ot,60.9,Ax,13,43.5,0,56.5
zanshang,赞赏,appreciate,0,4.88,1.27,Hp,95.8,Nu,4.2,91.7,0,8.3
zantong,赞同,agree,0,3.48,1.89,Hp,43.5,Ot,30.4,56.5,0,43.5
zaoxin,糟心,vexed,1,4.9,1.02,Ax,30.4,Dg,30.4,0,95.2,4.8
zengwu,憎恶,loathe,3,6.39,0.77,Dg,78.3,Ag,21.7,0,91.3,8.7
zhaoji,着急,worried,1,4.65,1.37,Ax,82.6,Ot,8.7,0,21.7,78.3
zhenai,珍爱,cherish,0,5.46,1.22,Hp,87.5,Ot,12.5,87.5,0,12.5
zhenfen,振奋,be,0,5.82,0.83,Hp,81.8,Ot,18.2,100,0,0
zhenjing,震惊,shocked,2,6.26,0.94,Sp,100,NA,0,0,9.1,90.9
zhenshi,珍视,cherish,0,5.25,1.3,Hp,87.5,Ot,8.3,95.8,0,4.2
zhenxi,珍惜,cherish,2,4.23,1.73,Ot,77.3,Nu,13.6,77.3,0,22.7
zhongai,钟爱,favorite,0,5.26,1.26,Hp,100,NA,0,87,0,13
ziai,自爱,self-esteem,0,2.59,1.8,Nu,50,Ot,31.8,52.4,0,47.6
ziao,自傲,proud,0,5.48,1.5,Ot,69.6,Hp,17.4,8.7,78.3,13
zibei,自卑,inferior,0,5.26,1.22,Ot,34.8,Sd,21.7,0,95.7,4.3
zida,自大,conceited,0,4.87,1.54,Ot,43.5,Dg,34.8,4.3,91.3,4.3
zifu,自负,conceited,0,5.57,1.44,Ot,65.2,Hp,13,0,95.7,4.3
zihao,自豪,proud,0,6.18,0.72,Hp,100,NA,0,95.5,0,4.5
ziman,自满,self-satisfied,0,5.17,1.52,Ot,56.5,Hp,30.4,0,91.3,8.7
zixin,自信,confident,0,4.57,1.91,Ot,47.8,Hp,43.5,91.3,0,8.7
zizai,自在,comfortable,0,4,1.29,Hp,69.6,Ot,30.4,87,0,13
zunchong,尊崇,worship,0,5.64,1.3,Ot,68.2,Hp,31.8,95.5,0,4.5
zunjing,尊敬,respect,0,4.14,1.82,Ot,69.6,Hp,17.4,90.9,0,9.1
zunzhong,尊重,respect,0,3.46,1.94,Ot,37.5,Nu,33.3,73.9,0,26.1
